AniList 标签,分类,成人标签,AniList 定义,优化前译名,建议译名,采用译名,变更类型,状态,问题说明,参考语境,来源
Anti-Hero,Cast-Main Cast,否,Features a protagonist who lacks conventional heroic attributes and may be considered a borderline villain.,反英雄,反英雄,反英雄,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Archery,Theme-Action,否,"Centers around the sport of archery, or prominently features the use of archery in combat.",弓箭,弓箭,弓箭,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Armpits,Sexual Content,是,Features the sexual depiction or stimulation of a character's armpits.,,腋下,腋下,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Aromantic,Cast-Traits,否,Features a character who experiences little to no romantic attraction.,,无浪漫倾向,无浪漫倾向,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Arranged Marriage,Cast-Traits,否,"Features two characters made to marry each other, usually by their family.",,包办婚姻,包办婚姻,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Artificial Intelligence,Cast-Traits,否,Intelligent non-organic machines that work and react similarly to humans.,人工智能,人工智能,人工智能,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Asexual,Cast-Traits,否,Features a character who isn't sexually attracted to people of any sex or gender.,无性恋,无性恋,无性恋,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ashikoki,Sexual Content,是,Footjob; features stimulation of genitalia by feet.,,足交,足交,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Asphyxiation,Sexual Content,是,Features breath play.,,窒息玩法,窒息玩法,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Assassins,Theme-Other-Organisations,否,Centers around characters who murder people as a profession.,刺客,刺客,刺客,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Astronomy,Theme-Other,否,"Relating or centered around the study of celestial objects and phenomena, space, or the universe.",天文学,天文学,天文学,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Athletics,Theme-Game-Sport,否,"Centers around sporting events that involve competitive running, jumping, throwing, or walking.",田径,田径,田径,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Augmented Reality,Setting-Universe,否,Prominently features events with augmented reality as the main setting.,增强现实,增强现实,增强现实,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Autobiographical,Theme-Other,否,Real stories and anecdotes written by the author about their own life.,自传体,自传体,自传体,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Aviation,Theme-Other-Vehicle,否,Regarding the flying or operation of aircraft.,航空,航空,航空,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Badminton,Theme-Game-Sport,否,Centers around the sport of badminton.,羽毛球,羽毛球,羽毛球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ballet,Theme-Arts,否,Prominently features the dance art of ballet. Both traditional and contemporary styles.,,芭蕾,芭蕾,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Band,Theme-Arts-Music,否,Main cast is a group of musicians.,乐队,乐队,乐队,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Bar,Setting-Scene,否,Partly or completely set in a bar.,酒吧,酒吧,酒吧,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Baseball,Theme-Game-Sport,否,Centers around the sport of baseball.,棒球,棒球,棒球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Basketball,Theme-Game-Sport,否,Centers around the sport of basketball.,篮球,篮球,篮球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Battle Royale,Theme-Action,否,"Centers around a fierce group competition, often violent and with only one winner.",大逃杀,大逃杀,大逃杀,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Biographical,Theme-Other,否,"Based on true stories of real persons living or dead, written by another.",传记,传记,传记,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Bisexual,Cast-Traits,否,Features a character who is romantically or sexually attracted to people of more than one sex or gender.,双性恋,双性恋,双性恋,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Blackmail,Theme-Other,否,Features a character blackmailing another.,,敲诈,敲诈,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Board Game,Theme-Game,否,Centers around characters playing board games.,,桌游,桌游,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Boarding School,Setting-Scene,否,Features characters attending a boarding school.,,寄宿学校,寄宿学校,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Body Horror,Theme-Other,否,"Features characters who undergo horrific transformations or disfigurement, often to their own detriment.",身体恐怖,肉体恐怖,肉体恐怖,优化,已采用,由“身体恐怖”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Body Image,Theme-Other,否,"Features themes of self-esteem concerning perceived defects or flaws in appearance, such as body weight or disfigurement, and may discuss topics such as eating disorders, fatphobia, and body dysmorphia.",,外貌焦虑,外貌焦虑,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Body Swapping,Theme-Fantasy,否,Centers around individuals swapping bodies with one another.,身体互换,身体互换,身体互换,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Bondage,Sexual Content,是,"Features BDSM, with or without the use of accessories.",束缚,束缚,束缚,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Boobjob,Sexual Content,是,Features the stimulation of male genitalia by breasts.,隆胸,乳交,乳交,优化,已采用,由“隆胸”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Bowling,Theme-Game-Sport,否,Centers around the sport of Bowling.,,保龄球,保龄球,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Boxing,Theme-Game-Sport,否,Centers around the sport of boxing.,拳击,拳击,拳击,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Boys' Love,Theme-Romance,否,"Prominently features romance between two males, not inherently sexual.",耽美,BL,BL,优化,已采用,由“耽美”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Brainwashing,Theme-Other,否,Centers on one or more characters who are mentally manipulated by others to behave abnormally or act against their own will.,,洗脑,洗脑,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Bullying,Theme-Drama,否,"Prominently features the use of force for intimidation, often in a school setting.",校园霸凌,霸凌,霸凌,优化,已采用,由“校园霸凌”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Butler,Cast-Traits,否,Prominently features a character who is a butler.,男仆,男仆,男仆,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Calligraphy,Theme-Arts,否,Centers around the art of calligraphy.,书法,书法,书法,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Camping,Setting-Scene,否,"Features the recreational activity of camping, either in a tent, vehicle, or simply sleeping outdoors.",,露营,露营,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cannibalism,Theme-Other,否,Prominently features the act of consuming another member of the same species as food.,食人,食人,食人,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Card Battle,Theme-Game-Card & Board Game,否,Centers around individuals competing in card games.,卡牌对战,卡牌对战,卡牌对战,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cars,Theme-Other-Vehicle,否,Centers around the use of automotive vehicles.,汽车,汽车,汽车,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Centaur,Cast-Traits,否,Prominently features a character with a human upper body and the lower body of a horse.,半人马,半人马,半人马,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cervix Penetration,Sexual Content,是,A sexual act in which the cervix is visibly penetrated.,,子宫颈插入,子宫颈插入,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
CGI,Technical,否,Prominently features scenes created with computer-generated imagery.,CGI,CGI,CGI,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cheating,Theme-Romance,否,Features a character with a partner shown being intimate with someone else consensually.,,出轨,出轨,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cheerleading,Theme-Game-Sport,否,Centers around the activity of cheerleading.,啦啦队,啦啦队,啦啦队,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Chibi,Theme-Other,否,"Features ""super deformed"" character designs with smaller, rounder proportions and a cute look.",Q版,Q版,Q版,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Chimera,Cast-Traits,否,"Features a beast made by combining animals, usually with humans.",奇美拉,奇美拉,奇美拉,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Chuunibyou,Cast-Traits,否,"Prominently features a character with ""Middle School 2nd Year Syndrome"", who either acts like a know-it-all adult or falsely believes they have special powers.",中二病,中二病,中二病,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Circus,Setting-Scene,否,Prominently features a circus.,马戏团,马戏团,马戏团,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Class Struggle,Theme-Drama,否,Contains conflict born between the different social classes. Generally between an dominant elite and a suffering oppressed group.,,阶级斗争,阶级斗争,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Classic Literature,Theme-Arts,否,Discusses or adapts a work of classic world literature.,古典文学,古典文学,古典文学,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Classical Music,Theme-Arts-Music,否,"Centers on the musical style of classical, not to be applied to anime that use classical in its soundtrack.",,古典音乐,古典音乐,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Clone,Cast-Traits,否,Prominently features a character who is an artificial exact copy of another organism.,克隆,克隆,克隆,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Coastal,Setting-Scene,否,Story prominently takes place near the beach or around a coastal area/town. Setting is near the ocean.,,滨海,滨海,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cohabitation,Theme-Romance,否,Features two or more people who live in the same household and develop a romantic or sexual relationship.,,同居,同居,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
College,Setting-Scene,否,Partly or completely set in a college or university.,大学,大学,大学,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Coming of Age,Theme-Drama,否,Centers around a character's transition from childhood to adulthood.,成长,成长,成长,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Conspiracy,Theme-Drama,否,Contains one or more factions controlling or attempting to control the world from the shadows.,阴谋,阴谋,阴谋,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cosmic Horror,Theme-Other,否,A type of horror that emphasizes human insignificance in the grand scope of cosmic reality; fearing the unknown and being powerless to fight it.,宇宙恐怖,宇宙恐怖,宇宙恐怖,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cosplay,Cast-Traits,否,Features dressing up as a different character or profession.,Cosplay,Cosplay,Cosplay,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cowboys,Cast-Traits,否,Features Western or Western-inspired cowboys.,,牛仔,牛仔,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Creature Taming,Theme-Other,否,"Features the taming of animals, monsters, or other creatures.",,驯兽,驯兽,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Crime,Theme-Other,否,Centers around unlawful activities punishable by the state or other authority.,犯罪,犯罪,犯罪,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Criminal Organization,Theme-Other-Organisations,否,Prominently features a group of people who commit crimes for illicit or violent purposes.,,犯罪组织,犯罪组织,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Crossdressing,Cast-Traits,否,Prominently features a character dressing up as the opposite sex.,异装癖,异性装扮,异性装扮,优化,已采用,由“异装癖”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Crossover,Theme-Other,否,"Centers around the placement of two or more otherwise discrete fictional characters, settings, or universes into the context of a single story.",跨界联动,跨界联动,跨界联动,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cult,Theme-Other-Organisations,否,"Features a social group with unorthodox religious, spiritual, or philosophical beliefs and practices.",,邪教,邪教,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cultivation,Theme-Fantasy,否,"Features characters using training, often martial arts-related, and other special methods to cultivate qi (a component of traditional Chinese philosophy, described as ""life force"") and gain strength or immortality.",修仙,修仙,修仙,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cumflation,Sexual Content,是,The stomach area expands outward like a balloon due to being filled specifically with semen.,,精液膨腹,精液膨腹,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cunnilingus,Sexual Content,是,Features oral sex performed on female genitalia.,,舔阴,舔阴,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Curses,Theme-Fantasy,否,"Features a character, object or area that has been cursed, usually by a malevolent supernatural force.",,诅咒,诅咒,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
